id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,target_type,priority
1,0.0,-251020.8847650646,133136.71475634215,519958.77372064744,2516.7243951908995,-1319.3145955164043,-4709.087737206474,Ballistic_Missile,1
1,1.0,-248504.16036987372,131817.40016082575,515239.87598344096,2516.7243951908995,-1319.3145955164043,-4718.897737206475,Ballistic_Missile,1
1,2.0,-245987.43597468283,130498.08556530935,510511.1682462345,2516.7243951908995,-1319.3145955164043,-4728.707737206475,Ballistic_Missile,1
1,3.0,-243470.71157949194,129178.77096979294,505772.650509028,2516.7243951908995,-1319.3145955164043,-4738.517737206475,Ballistic_Missile,1
1,4.0,-240953.98718430105,127859.45637427653,501024.3227718215,2516.7243951908995,-1319.3145955164043,-4748.327737206476,Ballistic_Missile,1
1,5.0,-238437.26278911016,126540.14177876012,496266.18503461505,2516.7243951908995,-1319.3145955164043,-4758.137737206476,Ballistic_Missile,1
1,6.0,-235920.53839391927,125220.82718324372,491498.2372974086,2516.7243951908995,-1319.3145955164043,-4767.947737206477,Ballistic_Missile,1
1,7.0,-233403.81399872838,123901.51258772731,486720.4795602021,2516.7243951908995,-1319.3145955164043,-4777.757737206477,Ballistic_Missile,1
1,8.0,-230887.0896035375,122582.1979922109,481932.91182299564,2516.7243951908995,-1319.3145955164043,-4787.567737206477,Ballistic_Missile,1
1,9.0,-228370.3652083466,121262.8833966945,477135.5340857892,2516.7243951908995,-1319.3145955164043,-4797.377737206478,Ballistic_Missile,1
1,10.0,-225853.6408131557,119943.56880117809,472328.3463485827,2516.7243951908995,-1319.3145955164043,-4807.187737206478,Ballistic_Missile,1
1,11.0,-223336.91641796482,118624.25420566168,467511.34861137625,2516.7243951908995,-1319.3145955164043,-4816.997737206479,Ballistic_Missile,1
1,12.0,-220820.19202277393,117304.93961014527,462684.5408741698,2516.7243951908995,-1319.3145955164043,-4826.807737206479,Ballistic_Missile,1
1,13.0,-218303.46762758304,115985.62501462887,457847.92313696333,2516.7243951908995,-1319.3145955164043,-4836.617737206479,Ballistic_Missile,1
1,14.0,-215786.74323239215,114666.31041911246,453001.4953997569,2516.7243951908995,-1319.3145955164043,-4846.42773720648,Ballistic_Missile,1
1,15.0,-213270.01883720126,113346.99582359605,448145.25766255043,2516.7243951908995,-1319.3145955164043,-4856.23773720648,Ballistic_Missile,1
1,16.0,-210753.29444201037,112027.68122807964,443279.2099253439,2516.7243951908995,-1319.3145955164043,-4866.047737206481,Ballistic_Missile,1
1,17.0,-208236.57004681948,110708.36663256324,438403.3521881374,2516.7243951908995,-1319.3145955164043,-4875.857737206481,Ballistic_Missile,1
1,18.0,-205719.8456516286,109389.05203704683,433517.6844509309,2516.7243951908995,-1319.3145955164043,-4885.667737206481,Ballistic_Missile,1
1,19.0,-203203.1212564377,108069.73744153042,428622.2067137244,2516.7243951908995,-1319.3145955164043,-4895.477737206482,Ballistic_Missile,1
1,20.0,-200686.39686124682,106750.42284601401,423716.9189765179,2516.7243951908995,-1319.3145955164043,-4905.287737206482,Ballistic_Missile,1
1,21.0,-198169.67246605593,105431.10825049761,418801.8212393114,2516.7243951908995,-1319.3145955164043,-4915.097737206483,Ballistic_Missile,1
1,22.0,-195652.94807086504,104111.7936549812,413876.91350210493,2516.7243951908995,-1319.3145955164043,-4924.907737206483,Ballistic_Missile,1
1,23.0,-193136.22367567415,102792.4790594648,408942.19576489844,2516.7243951908995,-1319.3145955164043,-4934.717737206483,Ballistic_Missile,1
1,24.0,-190619.49928048326,101473.16446394839,403997.66802769195,2516.7243951908995,-1319.3145955164043,-4944.527737206484,Ballistic_Missile,1
1,25.0,-188102.77488529237,100153.84986843198,399043.33029048546,2516.7243951908995,-1319.3145955164043,-4954.337737206484,Ballistic_Missile,1
1,26.0,-185586.05049010148,98834.53527291557,394079.182553279,2516.7243951908995,-1319.3145955164043,-4964.147737206485,Ballistic_Missile,1
1,27.0,-183069.3260949106,97515.22067739916,389105.2248160725,2516.7243951908995,-1319.3145955164043,-4973.957737206485,Ballistic_Missile,1
1,28.0,-180552.6016997197,96195.90608188276,384121.457078866,2516.7243951908995,-1319.3145955164043,-4983.767737206485,Ballistic_Missile,1
1,29.0,-178035.8773045288,94876.59148636635,379127.87934165954,2516.7243951908995,-1319.3145955164043,-4993.577737206486,Ballistic_Missile,1
1,30.0,-175519.15290933792,93557.27689084994,374124.49160445307,2516.7243951908995,-1319.3145955164043,-5003.387737206486,Ballistic_Missile,1
1,31.0,-173002.42851414703,92237.96229533353,369111.2938672466,2516.7243951908995,-1319.3145955164043,-5013.197737206487,Ballistic_Missile,1
1,32.0,-170485.70411895614,90918.64769981713,364088.2861300401,2516.7243951908995,-1319.3145955164043,-5023.007737206487,Ballistic_Missile,1
1,33.0,-167968.97972376525,89599.33310430072,359055.46839283366,2516.7243951908995,-1319.3145955164043,-5032.817737206487,Ballistic_Missile,1
1,34.0,-165452.25532857436,88280.01850878431,354012.8406556272,2516.7243951908995,-1319.3145955164043,-5042.627737206488,Ballistic_Missile,1
1,35.0,-162935.53093338347,86960.7039132679,348960.40291842073,2516.7243951908995,-1319.3145955164043,-5052.437737206488,Ballistic_Missile,1
1,36.0,-160418.80653819258,85641.3893177515,343898.1551812143,2516.7243951908995,-1319.3145955164043,-5062.247737206489,Ballistic_Missile,1
1,37.0,-157902.0821430017,84322.07472223509,338826.09744400776,2516.7243951908995,-1319.3145955164043,-5072.057737206489,Ballistic_Missile,1
