id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,target_type,priority
1,0.0,7905.367564093209,8063.882623344832,53613.300134576224,-702.1419294801304,-696.2649070894078,-5361.330013457622,Ballistic_Missile,1
1,1.0,7203.6957134154,7368.083860434943,48245.749491708455,-701.6718506778086,-695.7987629098889,-5367.550642867769,Ballistic_Missile,1
1,2.0,6502.908171874851,6673.162004875892,42875.15351251304,-700.7875415405484,-694.9218555590508,-5370.595979195414,Ballistic_Missile,1
1,3.0,5803.782814555836,5979.88842083287,37507.48594455882,-699.1253573190148,-693.273584043022,-5367.667567954218,Ballistic_Missile,1
1,4.0,5107.7737468626465,5289.705042652352,32153.934281425223,-696.0090676931892,-690.1833781805183,-5353.551663133599,Ballistic_Missile,1
1,5.0,4417.573121544145,4605.281489402586,26835.249904520504,-690.2006253185015,-684.423553249766,-5318.684376904717,Ballistic_Missile,1
1,6.0,3738.070590724959,3931.466486162239,21589.195018379658,-679.5025308191856,-673.815003240347,-5246.054886140848,Ballistic_Missile,1
1,7.0,3077.823953890187,3276.7462024836595,16481.994003442,-660.2466368347716,-654.7202836785793,-5107.201014937657,Ballistic_Missile,1
1,8.0,2450.7932688300416,2654.963848595671,11621.918099039325,-627.0306850601453,-621.7823538879886,-4860.075904402675,Ballistic_Missile,1
1,9.0,1876.9341478053245,2085.9080056003404,7164.161685784601,-573.8591210247171,-569.0558429953307,-4457.756413254724,Ballistic_Missile,1
1,10.0,1378.4801641893127,1591.6261488713035,3282.3448451354016,-498.45398361601167,-494.28185672903703,-3881.8168406491995,Ballistic_Missile,1
1,11.0,970.0671218223906,1186.6315786022246,91.93106241589612,-408.4130423669221,-404.99457026907885,-3190.4137827195054,Ballistic_Missile,1
1,12.0,958.3447699695988,1175.0073444111451,0.0,0.0,0.0,0.0,Ballistic_Missile,1
2,0.0,37416.549149695726,15139.01568017854,8084.464867015762,-316.7275236758365,-123.62716427295588,0.0,cruise_missile,2
2,1.0,37102.22840342154,15015.202776577382,8083.789148079636,-314.32074627418245,-123.81290360115793,-0.6757189361260971,cruise_missile,2
2,2.0,36789.831398922935,14892.342315711669,8082.443122441644,-312.3970044986068,-122.86046086571311,-1.3460256379919455,cruise_missile,2
2,3.0,36479.28580050614,14769.48349084955,8080.437577551996,-310.54559841679315,-122.85882486211825,-2.0055448896478616,cruise_missile,2
2,4.0,36169.836194962714,14648.241580769085,8077.7885891719725,-309.4496055434282,-121.24191008046489,-2.6489883800228986,cruise_missile,2
2,5.0,35861.56863261839,14527.00904861091,8074.517391778587,-308.26756234431804,-121.23253215817506,-3.2711973933860334,cruise_missile,2
2,6.0,35554.35876952196,14405.99832476159,8070.650207346255,-307.2098630964292,-121.01072384932044,-3.867184432331232,cruise_missile,2
2,7.0,35248.59493077756,14285.223742961454,8066.218033917011,-305.7638387443996,-120.77458180013444,-4.432173429244631,cruise_missile,2
2,8.0,34943.96529702171,14163.835308166857,8061.25639570225,-304.62963375585537,-121.3884347945974,-4.961638214760735,cruise_missile,2
2,9.0,34641.503679439855,14043.644907513457,8055.805056775032,-302.4616175818513,-120.19040065340008,-5.45133892721759,cruise_missile,2
2,10.0,34339.74619604199,13923.37368887853,8049.907700709621,-301.75748339786765,-120.27121863492663,-5.897356065411223,cruise_missile,2
2,11.0,34039.149309703724,13803.632900438146,8043.611578801792,-300.5968863382688,-119.7407884403837,-6.296121907828981,cruise_missile,2
2,12.0,33740.91905880034,13683.73945363728,8036.967129757008,-298.23025090338496,-119.89344680086687,-6.644449044784489,cruise_missile,2
2,13.0,33443.931871989786,13563.615710701586,8030.027573961773,-296.9871868105558,-120.12374293569387,-6.939555795234382,cruise_missile,2
2,14.0,33146.48737794921,13443.332373798326,8022.848485654515,-297.4444940405736,-120.28333690326023,-7.1790883072580804,cruise_missile,2
2,15.0,32848.866290248734,13323.097820152983,8015.487346484575,-297.62108770047746,-120.23455364534348,-7.361139169939935,cruise_missile,2
2,16.0,32553.214961751604,13201.416240237522,8008.003084090166,-295.651328497131,-121.68157991546174,-7.484262394408563,cruise_missile,2
2,17.0,32258.958591479724,13078.974918825925,8000.455599437412,-294.2563702718798,-122.4413214115981,-7.547484652753848,cruise_missile,2
2,18.0,31964.468622850716,12954.839007927163,7992.905286742265,-294.48996862900896,-124.13591089876188,-7.550312695147035,cruise_missile,2
2,19.0,31672.230109671385,12830.938942284956,7985.412549844841,-292.23851317933145,-123.90006564220651,-7.492736897424288,cruise_missile,2
2,20.0,31382.109432839115,12706.86560426787,7978.037318921486,-290.1206768322683,-124.0733380170853,-7.3752309233552875,cruise_missile,2
2,21.0,31092.349758994675,12581.835102910789,7970.838571403974,-289.7596738444404,-125.03050135708064,-7.198747517512266,cruise_missile,2
2,22.0,30805.099388651215,12457.382754371267,7963.873860928173,-287.25037034345814,-124.45234853952162,-6.9647104758018346,cruise_missile,2
2,23.0,30519.423113510104,12333.411241998128,7957.198858057112,-285.6762751411126,-123.9715123731382,-6.675002871059988,cruise_missile,2
2,24.0,30235.325480770167,12208.758312788832,7950.866906416714,-284.09763273993696,-124.65292920929613,-6.331951640398402,cruise_missile,2
2,25.0,29951.77665340046,12084.44804378753,7944.928597747705,-283.5488273697066,-124.31026900130183,-5.938308669009133,cruise_missile,2
2,26.0,29668.80179677419,11959.847490050168,7939.431369216014,-282.9748566262661,-124.60055373736277,-5.497228531690921,cruise_missile,2
2,27.0,29386.950354347264,11835.256874463246,7934.419126137728,-281.85144242692786,-124.59061558692166,-5.012243078285495,cruise_missile,2
