id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,target_type,priority
1,0.0,-152094.32026630096,-229650.1071377,-476673.0168172448,1525.5694036913958,2300.9451336689654,-4756.920168172448,Ballistic_Missile,1
1,1.0,-153318.75086260957,-230099.16200403104,-484189.74698541727,-1224.4305963086042,-449.05486633103465,-7516.7301681724475,Ballistic_Missile,1
1,2.0,-158357.6969255032,-234362.7323369471,-495530.80262017477,-5038.946062893647,-4263.570332916077,-11341.05563475749,Ballistic_Missile,1
1,3.0,-169957.67477309235,-245187.33445455867,-513442.7000396277,-11599.97784758914,-10824.602117611568,-17911.89741945298,Ballistic_Missile,1
1,4.0,-193521.8446769192,-267976.12862840795,-543328.5995153184,-23564.16990382685,-22788.794173849274,-29885.899475690687,Ballistic_Missile,1
1,5.0,-239265.77016227564,-312944.6783837868,-595404.0645725387,-45743.92548535645,-44968.549755378874,-52075.465057220295,Ballistic_Missile,1
1,6.0,-326321.10825612803,-399224.64074766164,-688800.752238255,-87055.33809385242,-86279.96236387485,-93396.68766571626,Ballistic_Missile,1
1,7.0,-490424.81600027543,-562552.9727618315,-859255.6195542662,-164103.70774414737,-163328.33201416978,-170454.86731601122,Ballistic_Missile,1
1,8.0,-798282.6825761122,-869635.4636076908,-1173474.4557019668,-307857.8665758368,-307082.4908458592,-314218.83614770067,Ballistic_Missile,1
1,9.0,-1374379.994045284,-1444957.3993468853,-1755942.5467430027,-576097.311469172,-575321.9357391945,-582468.091041036,Ballistic_Missile,1
1,10.0,-2451015.146018471,-2520817.1755900946,-2838958.2882880536,-1076635.151973187,-1075859.7762432094,-1083015.7415450509,Ballistic_Missile,1
1,11.0,-4461665.903460431,-4530692.557302076,-4855999.445301877,-2010650.7574419598,-2009875.3817119822,-2017041.1570138237,Ballistic_Missile,1
1,12.0,-8215214.430961028,-8283465.709072695,-8615948.182374338,-3753548.527500597,-3752773.1517706187,-3759948.7370724604,Ballistic_Missile,1
1,13.0,-15221056.279426273,-15288532.181807963,-15628200.050411448,-7005841.848465246,-7005066.472735268,-7012251.86803711,Ballistic_Missile,1
1,14.0,-28295762.36582634,-28362462.89247805,-28709325.966383375,-13074706.086400064,-13073930.710670086,-13081125.915971927,Ballistic_Missile,1
1,15.0,-52695125.827867635,-52761050.97878937,-53115119.06799654,-24399363.462041296,-24398588.086311318,-24405793.101613164,Ballistic_Missile,1
1,16.0,-98226590.31463572,-98291740.08982748,-98653023.0043365,-45531464.4867681,-45530689.11103812,-45537903.93633996,Ballistic_Missile,1
1,17.0,-183191094.89518544,-183255469.29464722,-183623976.8444581,-84964504.58054972,-84963729.20481974,-84970953.84012158,Ballistic_Missile,1
1,18.0,-341738656.82508063,-341802255.84881246,-342177997.8439252,-158547561.9298952,-158546786.5541652,-158554020.99946707,Ballistic_Missile,1
1,19.0,-637594075.8641608,-637656899.5121627,-638039885.7625773,-295855419.03908014,-295854643.66335016,-295861887.91865206,Ballistic_Missile,1
