id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,target_type,priority
1,0.0,12978.1573971813,6924.229012630356,52835.36058881455,-1217.197510926912,-576.1563537933757,-5283.536058881455,Ballistic_Missile,1
1,1.0,11761.853007034013,6348.495414558436,47545.89133365782,-1216.3043901472863,-575.7335980719199,-5289.46925515673,Ballistic_Missile,1
1,2.0,10547.213129424505,5773.549707905945,42253.85071708919,-1214.639877609509,-574.9457066524914,-5292.040616568629,Ballistic_Missile,1
1,3.0,9335.672406223253,5200.070975583975,36965.5027454673,-1211.540723201252,-573.4787323219701,-5288.347971621888,Ballistic_Missile,1
1,4.0,8129.885841623991,4629.315954910698,31692.46154655349,-1205.7865645992622,-570.7550206732776,-5273.041198913812,Ballistic_Missile,1
1,5.0,6934.7168345555,4063.5867194351417,26456.042129130128,-1195.1690070684913,-565.7292354755558,-5236.419417423363,Ballistic_Missile,1
1,6.0,5758.896656744937,3507.0161873050515,21294.5861492971,-1175.8201778105629,-556.5705321300903,-5161.4559798330265,Ballistic_Missile,1
1,7.0,4617.509198981097,2966.7442675654847,16274.468254980013,-1141.3874577638398,-540.2719197395666,-5020.11789431709,Ballistic_Missile,1
1,8.0,3534.7962949864727,2454.2457507918684,11502.60625696687,-1082.7129039946244,-512.4985167736164,-4771.8619980131425,Ballistic_Missile,1
1,9.0,2544.822275440974,1985.6448735051947,7129.664178776603,-989.9740195454987,-468.6008772866738,-4372.942078190267,Ballistic_Missile,1
1,10.0,1684.8141148479665,1578.5628990584296,3321.0010788025666,-860.0081605930075,-407.081974446765,-3808.6630999740364,Ballistic_Missile,1
1,11.0,978.705996906661,1244.3289929217335,184.09524805978162,-706.1081179413055,-334.2339061366961,-3136.905830742785,Ballistic_Missile,1
1,12.0,423.09632646707166,981.3330214552467,0.0,0.0,0.0,0.0,Ballistic_Missile,1
